
Position,BKP,Bauteil,Bereichskapitel,Bereichstext
11,211,Rohbau,Kanalisation im Gebäude,"Alle Leitungen in PE 12–20 cm mit den notwendigen Bodenabläufen und Kontrollschächten. Planung Kanalisation durch HLS-Ingenieur in Absprache mit dem Landschaftsarchitekten.Gesamte Kanalisation inkl. allfälliger Versickerungsanlage und den notwendigen Kontroll- und Sammelschächten gemäss bewilligtem Kanalisationsplan. Einbau von Rinnen, Kanälen und Schächten inkl. Druckprotokoll vor dem verschliessen der Grabenarbeiten.Kanalisationsspülung inkl. Videoaufnahmen (TV) und Protokoll nach Endreinigung bei Bauende. Die Ausführung erfolgt nach Möglichkeit in PE-Rohre (Polyethylen).Sämtliche Anschlüsse an die Gemeindekanalisation inkl. allen Strassenanpassarbeiten, inkl. allfälligen Anschlüssen und Provisorien. Alle während den Bauarbeiten zum Vorschein kommenden Bestandesanschlüsse, die nicht mehr verwendet werden, sind fachgerecht zu schliessen.Die Kosten für alle neuen Hausanschlussleitungen sind einzurechnen.
Spülen der kompletten Kanalisation, Rinnen und dgl. inkl. Spülprotokoll und TV-Aufnahmen nach Bauvollendung."
12,211,Rohbau,Beton- und Stahlbetonarbeiten,"Grundlage für die Betonarbeiten bilden die Nutzungsvereinbarung (Datum) und die die besonderen Bestimmungen des Bauingenieurs sowie die Planunterlagen des Architekten.Fundationen nach geologischen Erfordernissen. Armierte Betonplatte als Fundamentplatte. Aussenwände in armiertem Beton 25–30 cm mit abgedichteten Fugen (Dichtigkeitsklasse DK1 oder DK2 angeben). Innenwände Kalksandstein (mit Feuchtigkeitssperre) oder Beton 15–25 cm. Decken in Beton nach statischen Erfordernissen. Treppen in Beton, vorfabriziert, mit Feinsteinzeugplatten oder Kunststein belegt. Angaben des Schalungstyps der Sichtbetonflächen im Treppenhaus, Hydrophobiert? BOK-Klasse definieren, Lunker, Rost, Markierungen?Es ist zu empfehlen eine Referenzfläche zu erstellen.
Sichtbetondecken, Wände Wohnungen, TRH, etc. ist in den 1. Etappen vorgängig ein Muster (TRH, Wohnbereich, Nasszellen) zu erstellen für die gemeinsame Beurteilung, um Diskussionen über die Ausführung bei der Abnahme zu vermeiden.Bei den Einlagen im Bereich der Sichtbetondecke- Wände sind auf grossflächige Anzeichnungen auf der Schalung zu verzichten.Beton Suisse, Merkblatt für Sichtbetonbauten:Dritte, vollständig überarbeitete Auflage, 2020Merkblatt MB 02Betonoberflächenklassen (BOK) sind noch zu definieren!"
13,211,Rohbau,Maurerarbeiten,"Die Mauererarbeiten haben gemäss der Vordimensionierung des Bauingenieurs für Stahlbetonteile und Mauerwerke zu erfolgen inkl. sämtlichen Decken- und Wandlager.Vordimensionierung und Dimensionierung durch Bauingenieur.Erstellen Mauerwerkstragwände in allen Geschossen. Dimensionen, Mauerwerkfestigkeit und notwendige Bewehrung den Anforderungen entsprechend. Die Mauerwerkswände in den Kellergeschossen aus Kalksandstein, vollfugig gemauert inkl. Feuchtigkeitssperren."
14,212,Rohbau,Montagebau in Beton,"Lieferung und Montage von vorfabrizierten Betontreppenelementen, Ausführung Beton schalungsglatt, Untersicht Weissputz. Allfällige Stützen im Balkonbereich inkl. Sämtlichen Treppenlager und Kragplattenanschlüsse gemäss Angaben Bauingenieur."
15,215,Fassaden,Fassadenbau,"Kompaktfassade Steinwolle 22 cm. Fenstereinfassungen aus Metall als Option.Angaben zum Fertigabrieb, Verputz, Wärmedämmung und Sockelanschluss10 Jahre Systemgarantie durch Fassadenunternehmer"
16,221,Fenster,Fenster,"Holz-Metall-Fenster, aussen Alu einbrennlackiert, innen Holz fertig lackiert. Aussen- und Innenfarbe gemäss Farbkonzept und Angaben des Architekten RAL oder NCS, 3-fach IV-Verglasung wo nötig in VSG gemäss Energienachweis (Datum).Öffnungsarten Dreh- und Dreh-Kippfenster (1 Stück pro Fensterkombination bzw. pro Fenstereinheit). Schiebetüren mit behindertengerechter Schwelle und die notwendigen konstruktiven Massnahmen (Rinne etc.). Es ist zu prüfen, ob eine Tür mit einer Durchgangsbreite von min 90 cm und einer Schwelle von max. 2,5 cm ausgeführt werden soll (SIA 500).Im Erdgeschoss alle Fenstergriffe abschliessbar mit Schlüssel, Wetterschenkel in Alu einbrennlackiert in Fensterfarbe. Erdgeschoss einbruchsicher RC1N nach SIA 343.301.Bei allen Fenstertüren zum Sitzplatz / Balkon, aussen mit Zuziehgriff und Schnäpper.(Die SIGAB Richtlinien werden eingehalten).Es ist zu prüfen, ob die Fenster im EG aus RC2 ausgeführt werden sollten, diese haben im Gegensatz zu RC1N eine VSG-Verglasung sind und somit auch bei einem einschlagen des Fensters Robuster.
Die Tür- und Fensteranschlüsse Innen sind so auszubilden, dass die Luftdichtigkeit gemäss SIA 331 gewährleistet ist.Es darf kein Schaum gemäss SNBS (Standard Nachhaltiges Bauen Schweiz) verwendet werden."
17,221,Fenster,Schallschutz – Fenster,"Bezüglich Schalldämmwerte werden in der Aufstellung die Anforderungen der zu erreichende Werten in drei Fenstertypen (Typ 1-3) definiert. Es ist ein R’w Wert ausgeschrieben. Wir möchten darauf hinweisen, dass sich dieser Wert, auf den fertig eingebauten zu erreichenden Schalldämmwert bezieht.Um alle Risiken auszuschliessen, empfehlen wir die Ausschreibung wie folgt zu ergänzen: Z.B.(fertig eingebauter Wert)"
18,221,Fenster,Einbruchschutz,"In diversen Ausschreibungspositionen wird RC1N bzw. RC2N ausgeschrieben. N bedeutet «ohne Verbundsicherheitsglas (VSG)». In der normativen Beschreibung ist grundsätzlich RC1 immer ohne VSG. Der Unterschied zwischen RC1 und RC2 macht als Mehrleistung und erhöhte Sicherheit das Verbundsicherheitsglas aus. RC2 ist in der Regel immer mit VSG. Warum wird RC2N ausgeschrieben? Das macht aus unserer Sicht keinen Sinn, da RC2 ohne VSG grösstenteils RC1 entspricht. Wir empfehlen diese Positionen verständlich anzupassen."
19,221,Fenster,"Fenstermontage, Grundausführung","Es ist darauf zu achten, dass vor der Montage aller erdberührten Fenster, vorgängig eine Dampfbremse gemäss SIA 271:2021, Abs. 6.11 erstellt wurde. Diese Abdichtung kann durch den Fensterbauer oder einen anderen Unternehmer erstellt werden. Wichtig ist, dass es normgerecht ausgeführt wird."
20,221,Fenster,Fenster Hindernisfreie Schwellen,"Bei der Vertextung der Grundposition 824 wird von hindernisfreien Fenstertüren gesprochen. In der Unterposition 001 wird von Hebeschiebefenstern gesprochen. Nach unseren Erkenntnissen ist eine Hebeschiebetürschwelle mit der richtigen Planung und Ausführung der Rahmenverbreiterung ohne Mehraufwendungen und Profiländerungen hindernisfrei zu gestalten. Nur bei Fenstertüren ist eine spezifische Planung und ein spezielles Rahmenprofil notwendig, was auch einem Mehrpreis entspricht. Wir empfehlen dies klar zu definieren."
21,221,Fenster,"Aussentüren, -Tore in Metall","Hauseingang-Front aus isolierten Stahl- oder Aluprofilen einbrennlackiert (RAL oder NCS gemäss Farbkonzept) mit 3-IV + VSG. Aussen CNS-Stossstange, Innen Drücker, Türe als Fluchttüre nach aussen öffnend, mit Panikschloss, inkl. elektrischem Türöffner. Türschliesser wo gemäss Brandschutzanforderungen notwendig.
Allgemeiner Hinweis GaragentorEs empfiehlt sich im Bereich des Schlupftürgriffes eine Grundplatte zu erstellen, damit die Schlupftüre nicht unter zu Hilfenahme von Draht oder ähnlichen Werkzeugen, von aussen geöffnet werden kann. Beispielabbildung unten:
Allgemeiner Hinweis EingangstüreIm Baubeschrieb wird die Haupteingangstüre ausgeführt in VSG beschrieben. In den Ausschreibungsunterlagen ist die Verglasung wahlweise mit ESG oder VSG angegeben. Es empfiehlt sich die Unterlagen zu vereinheitlichen."
22,223,Elektro,Blitzschutzanlage,Keine Blitzschutzanlage geplantEs ist zu prüfen ob Überspannungsableiter in den Hauptverteilungen vorgesehen werden (Grob- und Mittelschutz).
23,224,Flachdach,Allgemeiner Hinweis – Flachdach,"Gemäss Ausschreibung liegt das Objekt auf 411m über Meer.Zur Beurteilung der Witterungseinflüsse ist die Bezugshöhe gemäss SIA 261:2020 Anhang D entscheidend.
Allgemeiner HinweisGemäss SIA 271:2021, Abs. 7.4.2 müssen für alle Abdichtung (bituminös und FLK) auf starre Untergründe wie Beton, Metall, etc. Haftzugproben vorgenommen und dokumentiert werden.
Allgemeiner HinweisGemäss SIA 271:2021, Abs. 2.9.5.11 müssen auch Notüberläufe zu Kontroll- und Reinigungszwecken zugänglich sein. Vor den Notüberläufen müssen entsprechende Gitter montiert werden.
Allgemeiner HinweisGemäss SIA 271:2021, Abs. 5.13 ist pro Abschottungsfeld mind. Ein Kontrollstutzen an der voraussichtlich tiefsten Stelle anzuordnen und nach Einbau auszudämmen."
24,224,Flachdach,Dampfbremse,"Gemäss Ausschreibung ist eine Dampfbremse für normale Anforderungen mit einem sd-Wert von mind. 150m gefordert.Gemäss SIA 271:2021, Abs. 5.11 müssen Dampfbremsen, welche als Bauzeitabdichtung eingesetzt werden, einen sd-Wert von mind. 250m aufweisen. Die in der Ausschreibung vorgeschlagene Dampfbremse weist einen sd-Wert von 1’500m auf. Die in der Ausschreibung angeforderten Werte sind ggf. zu korrigieren/abzugleichen."
25,224,Flachdach,Dämmung – Flachdach,"Im Baubeschrieb vom 07.11.2023 ist erwähnt, dass im Flachdachbereich EPS Dämmung verwendet wird. Gemäss Ausschreibung 324 Seite 38 wird eine PUR/PIR Dämmung gefordert.Damit keine Verwechslungen entstehen empfehlen wir, die Dokumente aufeinander abzustimmen. Aus energetischer Sicht sind PUR/PIR Dämmungen zu bevorzugen."
26,224,Flachdach,Dachwassereinlauf,"Gemäss SIA 271:2021, Abs. 5.9 sind die Entwässerungen durch Absenken der Dachwassereinläufe um mindestens 20mm unter die Abdichtungsebene zu verbessern (Bild unten)."
27,224,Flachdach,Einhängestreifen,"Einhängestreifen durchgehend montierenJe nach Exposition kann ergänzt werden, dass die Einhängestreifen am Dachrand auf der Aussen- und Innenseite angebracht werden müssen."
28,224,Flachdach,Sicherheitsrinne,"931 Bettungen, Plattenauflager und Entwässerungsrinnen zu Gehbelägen, Seite 49Wenn die Fugendimensionen der offenen Gehbeläge untereinander und zur Schwelle eingehalten werden, kann ggf. auf eine Sicherheitsrinne verzichtet werden. SIA 271:2021, Abs. 6.12.Falls Sicherheitsrinnen eingebaut werden, müssen diese direkt und separat an das Entwässerungssystem angeschlossen werden."
29,224,Flachdach,Systemgarantie,Es empfiehlt sich die Systemgarantie explizit mit Ausführungsgarantie zu ergänzen.
30,224,Flachdach,Flachdach,"Nicht begehbares Flachdach:Voranstrich Bitumenlack, Dampfsperre einlagig aus Polymerbitumen- Dichtungsbahn V4A. Wärmedämmung aus Polystyrol expandiert EPS, Stärke gemäss Energienachweis (Datum). Dichtungsbahn 2-lagig aus Polymerbitumen Dichtungsbahn; 1. Lage EGV 3, 2. Lage EP 5WF flam wurzelfest. 1. Lage lose verlegt, Überlappungen mind. 10 cm verschweisst oder geklebt, 2. Lage vollflächig verklebt. Drainagelage, z. B. Enkadrain oder gleichwertig. Vegetationsschicht aus Schüttstoffgemisch, mit Kies. Randbereich mit Kiesstreifen. inkl. seitlichen Auf- und Abbordungen inkl. Mechanischer Befestigung FLK; Betondecke mit ca. 1.5 -2 % Gefälle?Balkone und Terrassen:Abdichtung, Stelzenlager und Keramikplatten 40 – 50 mm auf Stelzenlagern gemäss Plan Architekt. Entwässerungen nach Vorgabe SIA – inkl. CNS Rinne vor Balkontüren. Wenn die Fugenbreiten eingehalten werden, kann ggf. auf eine Sicherheitsrinnen vor dem Fenster verzichtet werden.Alle Dächer mit Notüberläufen nach SIA 271 und evtl. Speiher, Dachwassereinläufe und Absturzsicherungen.10-jährige Ausführungs- und Systemgarantie durch Flachdächler
Substrat mind.80mm nach Absenkung (SIA 312) / Kies bei Photovoltaikanlage 80mm."
31,225,Übriger Innenausbau,Allgemeiner Hinweis – Übriger Innenausbau,"KantenschutzSoweit ersichtlich, wurde der Kantenschutz für sämtliche Abschlüsse eingerechnet. Wie wurde der Abschluss zum jeweiligen Endbelag gewählt? Unsere Erfahrung zeigt, dass die Dämmplatten häufig direkt auf dem Boden montiert werden und dabei bei Schnee oder durch eine allfällige Reinigung kapillar Wasser aufnehmen. Es sollte geprüft werden, ob eine geeignete Variante für den Bodenabstand eingerechnet werden kann.
Generell:Im Leistungsverzeichnis ist nicht eindeutig ersichtlich, ob die Dämmplatten mit geraden Kanten oder mit Stufenfalz ausgeführt werden sollen. Aus unserer Sicht ist die Ausführung mit Stufenfalz zu bevorzugen, da sie Wärmebrücken bei möglichen Fehlstellen minimiert."
32,226,Fassaden,Verputzte Aussenwärmedämmung,"Fassadensystem mineralisch mit Steinwolle, Stärke 22 cm und Wärmeleitzahl gemäss Energienachweis (Datum). Grundputz, Netzeinbettung, Voranstrich, mineralischer Deckputz (mineralischer Anstrich) gem. Farbkonzept gemäss Architekt. Liefern und versetzen von Fensterbänken (Option Metallzargen) mit Unterkonstruktion aus Metall einbrennlackiert (RAL oder NCS nach def. Farbkonzept).10 Jahre Ausführungs- und Systemgarantie durch Fassadenunternehmer"
33,226,Fassaden,Normen und andere Regelwerke,Nebst des SIA-Regelwerk sollten unbedingt die Merkblätter des SMGV berücksichtig werden. Insbesondere betreffend Bauteilanschlüssen.
34,226,Fassaden,Fassadendämmung,"Im Konzept Fassade vom 19.07.2023 ist die Fassadendämmung als Mineralwolle 220mm angegeben. Ausgeschrieben wird eine EPS Dämmung.Um Verwechslungen zu vermeiden, sollten die Dokumente aufeinander abgestimmt werden. Örtliche Brandschutzvorschriften sind zu dabei zu berücksichtigen, insbesondere bezüglich Thematik Brandriegel.Aus energetischer Sicht ist Mineralwolle einer EPS-Dämmung vorzuziehen."
35,226,Fassaden,Bewegungsfugen,"Wenn Bewegungsfugen mittels Dichtmassen erstellt werden, ist bei der Ausführung die SIA 274:2021 zwingend zu berücksichtigen.Wir empfehlen Bewegungsfugen immer konstruktiv oder mittels Dichtprofilen auszuführen."
36,226,Fassaden,Schützen von Bauteilen,"Gemäss SIA 243:2008; Abs. 2.2.3 müssen horizontale und geneigte Flächen welche direkte Witterung ausgesetzt sind, entsprechend geschützt werden. Dazu zählen auch Wärmedämmungen."
37,226,Fassaden,Wärmedämmung im Erdbereich,"Gemäss SIA 243:2008, Abs. 2.2.5 dürfen die XPS- oder speziellen EPS-Sockelplatten bis max. 250mm über die Sockellinie geführt werden."
38,226,Fassaden,Abdichtungsarbeiten,Wir empfehlen Anschlüssen an Fensterbänke entsprechend dem SMGV Merkblatt 73 Fensterbänke und Türschwellen auszuführen.
39,226,Fassaden,Fensterbankanschlüsse,Gemäss dem SMGV Merkblatt 73 Fensterbänke und Türschwellen ist eine Sekundärabdichtung unter den Fensterbänken zur Gewährleistung einer dichten Gebäudehülle einzubauen.
40,226,Fassaden,Ausdehnung Fensterbänke in Aluminium,"Je nach Ausführung der Fensterbänke aus Aluminium, sind aufgrund der zu erwartenden Längenausdehnung die maximalen Längen zu definieren."
41,226,Fassaden,Dichtfugen,"Aufgrund der hohen Wartungs- und Unterhaltsaufwände von Dichtfugen raten wir, wenn immer möglich auf Dichtmassen zu verzichten und Anschluss- und Bewegungsfugen wenn immer möglich konstruktiv oder mittels Dichtprofilen auszuführen.Einschubprofile für die seitliche Abdichtung von Fensterbänken sind in der Praxis bewährt. Es sind praktisch keine Unterhaltsarbeiten erforderlich."
42,226,Fassaden,Grund- und Deckputz,In den Ausschreibungsunterlagen sind keine Hinweise auf die Stärke des Grund- und Deckputzes ersichtlich. Es müssen zwingend die Angaben der jeweiligen Hersteller (Systemlieferanten) eingehalten werden.
43,228,Läden/Sonnenschutz,"Montage der Schienen auf Metallzargen,","Wir empfehlen explizit zu erwähnen, dass die Schienen Dilatationsfähig montiert werden müssen, damit bei unterschiedlicher Materialausdehnung keine Beschädigungen der Befestigungspunkte entstehen."
44,228,Läden/Sonnenschutz,Gelenkarmmarkisen,"Gemäss Ausschreibug werden im Attikageschoss Gelenkarmmarkisen entsprechend der Windwiderstandsklasse 3 geplant. Nach SIA 342:2009, Abs. B.2.3 gilt bei Gelenkarmmarkisen grundsätzlich und unabhängig der Grösse die windwiderstandsklasse 2."
45,228,Läden/Sonnenschutz,Lamellenstoren,"Verbundraffstoren VR 90 mit gebördelten Lamellen bei allen Fenstern. Jede Lamelle mit eingewalzter Dichtungslippe zur Geräuschdämmung. Farbe nach RAL oder NCS nach def. Farbkonzept.Es ist zu prüfen, elektrische Bedienung auszuführen."
46,228,Läden/Sonnenschutz,Verbundraffstoren,"Gemäss Ausschreibung werden im Attikageschoss Raffstoren mit einer Breite von 2600mm geplant. Nach SIA 342:2009, Tabelle 7 ist das Gebäude in die Windwiderstandsklasse 5 einzuordnen (Mittelland bis 600m ü.M., Seeufer). Demnach ist die maximale Breite der Verbundraffstoren bis 2500mm zugelassen. Es ist zu prüfen ob die Verbundraffstoren im Attikageschoss den Beanspruchungen Stand hält."
47,230,Elektro,Vorschriften,"Sämtliche am Ort des Bauvorhabens gültigen Gesetze / Vorschriften / Richtlinien werden eingehalten, wie:Elektrizitätsgesetz Starkstromverordnung Werkvorschriften des energieliefernden Elektrizitätswerks Brandschutzrichtlinie der Vereinigung Kantonaler Feuerversicherungen (VKF) vom 01.01.2015 Weisungen des Verbandes Schweiz. Elektroinstallateure (VSEI)Verordnung über elektrische Niederspannungserzeugnisse (NEV) Verordnung über elektrische Niederspannungsinstallationen (NIV) Niederspannungsinstallationsnormen (NIN) SUVA-Vorschriften Weisungen des Starkstrominspektorats Leitsätze des SEV: SN 413724 / SN 414022 / SN 413569-1 bis -3 / SN 414113 SIA-Normen: 108 / 118 / 380.4 / 380.7 etc. Bestimmungen der Bauherrschaft / des Architekten Beleuchtungsstärken gemäss SIA und BFU"
48,230,Elektro,Materialwahl,Folgende Fabrikate sind zwingend einzusetzen. Andere Fabrikate dürfen nur in Absprache mit der Fachbauleitung eingesetzt werden.Produkt Bestimmen z.B. Feller Edizio Due
49,230,Elektro,Hauptverteilung,Die Hauptverteilung befindet sich unterhalb des HWi und teilweise Zimmer 1.Die Verordnung über den Schutz vor nichtionisierender Strahlung (NISV) wird womöglich nicht eingehalten. Ggf. müssen noch Massnahmen erfolgen (z.B. Abschirmung).
50,230,Elektro,Rettungszeichen (Notleuchten und Fluchtwegbeschilderungen),Soweit ersichtlich sind noch keine Rettungszeichen (Notleuchten und Fluchtwegbeschilderungen) vorhanden. Diese sind noch für die Ausführungsplanung miteinzubeziehen.
51,230,Elektro,Technikraum,Die Koordination im Technikraum muss sicherlich noch überprüft werden.
52,230,Elektro,Zugangstüre der Veloabstellplätze,"Es ist zu prüfen, die Zugangstüre der Veloabstellplätze mit einem elektrischen Türöffner mit Badge zu planen."
53,230,Elektro,Steckdosen in den Wohnungstrennwänden,"Es sind Steckdosen in den Wohnungstrennwänden vorhanden. Die korrekte Ausführung und der Abstand der gegenüberliegenden Dosen ist durch den Bauakustiker zu definierten.
Es sind Steckdosen in den Wohnungstrennwänden vorhanden. Die korrekte Ausführung und der Abstand der gegenüberliegenden Dosen ist durch den Bauakustiker zu definierten (ggf. sollte eine Vorsatzschale eingeplant werden
Es sind Steckdosen in den Wohnungstrennwänden vorhanden. Die korrekte Ausführung und der Abstand der gegenüberliegenden Dosen ist durch den Bauakustiker zu definierten."
54,230,Elektro,Elektrische Anschlüsse,"Elektrische Anschlüsse M-Bus Zähler Heizung und Sanitär einplanen.
Elektrische Anschlüsse VAV Box einplanen."
55,230,Elektro,"Beleuchtungsstärke im Bereich der Treppe, Treppenhaus","Es ist nicht ersichtlich, ob die Beleuchtungsstärke im Bereich der Treppe, Treppenhaus genügend ist.Empfehlung QualiCasa; Die Beleuchtungsstärke ist gemäss SIA 500, Tabelle 7 einzuhalten.Die SN EN 12464-1 und BfU, Treppen Tabelle 5 sind einzuhalten. Dies ist zu definieren, da ansonsten die Beleuchtungsstärke nicht eingehalten werden müssen."
56,230,Elektro,Allgemein Wohnen:FTTH Dose,"Allgemein Wohnen:Es ist zu prüfen, im Wohnbereich eine FTTH Dose zu installieren.Die Platzverhältnisse für das Modem ist teils ungenügend, zuzdem wird der W-Lan empfang durch den Blechdeckel."
57,230,Elektro,Schalter/ Steckdosenkombinatonen,"Es ist zu Empfehlen, bei den Schalter / Steckdosenkombinatonen ein 2er Einlasskasten einzubauen (z.B. keine getrennten Schalter und Möglichkeit von nachträglichem Einbau von Dimmer). Es ist zu Empfehlen, bei den Schalter / Steckdosenkombinatonen ein 2er Einlasskasten einzubauen (z.B. keine getrennten Schalter und Möglichkeit von nachträglichem Einbau von Dimmer)."
58,230,Elektro,Lüftungstaster für die RWA,"Es ist zu Empfehlen, einen Lüftungstaster für die RWA im Dachgeschoss anzuordnen, dieser sollte zudem mittels eines Temperatur- und Witterungsfühler ausgerüstet werden."
59,230,Elektro,FL Leuchten,"Wir gehen davon aus, dass keine FL-Leuchten verbaut werden. Der Plankopf ist anzupassen LED"
60,230,Elektro,Schalters / Bewegungsmelder,"Für was ist der Schalter (Kreis) Beleuchtungssteuerung über Bewegungsmelder, es ist zu prüfen, anstelle des Schalters ein Bewegungsmelder einzubauen."
61,230,Elektro,zusätzliche Leuchte,"Im Korridor sind nur 2 Leuchten eingezeichnet, es ist zu prüfen eine zusätzliche Leuchte zu planen."
62,230,Elektro,Steckdose Nassausführung (NUP),"Es ist zu prüfen, eine Steckdose Nassausführung mit Deckel zu planen, oder wie bei der Durchfahrt einen Kemper- Tresor zu installieren."
63,230,Elektro,Ladestationen,"Es sind keine Anschlüsse für Ladestationen ersichtlich.Es ist zu prüfen, ob Ladestationen bei 2- 3 Parkplätzen sinnvoll wären."
